Symbol,Price_Increase_Percentage,Screeners,MVP_Last_6Mo,IBD_RSI,Nr_Of_Spikes,Volume-Acceleration(%),RSI_12M,RSI_3M,RSI_6M,Price_Tightness_1W
FUTU,152.66409266409266,5,,86,,,95.90719499478624,81.15866388308977,81.15866388308977,11.589635854341733
ZLAB,148.40724547158027,5,,91,,,86.48111332007959,75.09481668773704,86.01769911504425,23.901170351105332
ANGO,146.800731261426,6,,91,1,,87.61904761904762,73.95498392282957,81.69934640522877,20.945945945945947
DOMO,146.75540765391014,7,,95,1,53.45,97.01492537313433,91.87499999999999,97.01492537313433,15.509103169251523
KARO,145.58139534883722,6,,92,1,,88.94028595458367,88.94028595458367,88.94028595458367,14.551767676767675
NCSM,144.96855345911953,5,,88,,,93.47290640394091,84.39661798616449,84.39661798616449,8.05778491171749
LLYVK,143.7611940298507,5,,91,,,96.83293745051466,82.21771467207574,95.0,7.687379884689302
BYDDF,140.55533828705512,6,,90,,66.61,91.82879377431907,84.1626213592233,86.22641509433961,8.800300864986836
PBI,138.3116883116883,5,,90,,,88.99676375404529,87.30964467005069,87.30964467005069,6.086142322097382
TGI,135.78564940962764,5,,90,,,97.66081871345034,92.52336448598116,97.66081871345034,0.77041602465331
KTOS,131.53992183137913,5,,93,,,87.87593984962405,81.12189859762677,87.87593984962405,10.052859016899463
DAN,131.39841688654352,6,1,88,,,96.18181818181817,95.60878243512973,95.60878243512973,8.095781071835793
TDS,130.22346368715085,5,,84,,,91.33034379671162,91.33034379671162,91.33034379671162,7.346037006351846
NTGR,128.788977519942,5,,93,,,85.63535911602209,84.93273542600895,84.93273542600895,6.850649350649348
TTMI,126.94990488268864,6,,94,1,,94.50457951706908,94.50457951706908,94.50457951706908,17.658563844649343
MIR,126.67398463227222,7,,94,1,53.67,90.93264248704672,90.93264248704672,90.93264248704672,8.958837772397086
CIXXF,125.46523016650339,5,,90,,,98.91304347826083,92.79279279279264,92.79279279279264,0.4778453518679384
ATROB,125.43741588156125,7,,93,1,72.63,99.83766233766237,94.11764705882364,99.83766233766237,11.134328358208956
