Symbol,Price_Increase_Percentage
LAUR,73.6029411764706
MGIC,73.50157728706625
CAE,73.16614420062697
XNGSY,73.10252996005325
GT,73.03988995873453
CCEC,72.67565649396734
UVE,72.66666666666666
GTX,72.46790299572041
TIPT,72.43589743589743
IFS,72.42990654205607
NTES,72.31377719182596
CLBR,72.1182266009852
DGICB,72.09302325581395
DRVN,72.05882352941174
ANPDY,71.96850393700788
MUFG,71.77142857142856
SDGR,71.50602409638552
APH,71.44422128902684
GE,71.4181091877497
SIBN,71.36752136752138
KEP,71.25748502994011
PRDO,71.03311913000495
CSGS,70.9228824273072
NPSNY,70.91666666666667
TIGO,70.42939353696326
CVLT,70.33220820749688
MT,70.07797270955164
MELI,70.05677419354839
SONY,69.92433795712485
BH,69.92297576554576
FMS,69.88287785833799
CCHGY,69.77099236641222
BA,69.7703289882061
BBVA,69.66413867822318
CAH,69.38928839755285
UBOH,68.93732970027247
SGAPY,68.76277057223092
BASE,68.67658574784652
FRFHF,68.63680623174295
MOS,68.55992844364937
PERI,68.4903502501787
BOTJ,68.14595660749507
NATH,67.9879427279578
TCEHY,67.90697674418605
SENEB,67.74308652988404
VRSN,67.51695750478287
SAP,67.06008583690985
PUK,66.78248783877693
SPNT,66.69463087248323
T,66.6475315729047
ISBA,66.49572649572649
DSDVY,66.27937856858318
ACNT,66.17647058823529
PAAS,66.06942889137738
UGI,66.06088141753746
BJRI,65.88192683810213
BBUC,65.51345414607358
VEEV,65.3421007879372
NIC,65.13157894736842
ASND,64.73129894679988
ISNPY,64.31802076447116
SII,64.30617026815935
IBM,63.94101073077155
SMSMY,63.88012618296531
PAC,63.70208702769064
VLGEA,63.4106634106634
HCSG,63.37719298245615
WOR,62.909186906019
DRI,62.512880906815816
DTEGY,62.412896515860616
WWD,62.26195369228663
ALIZY,62.22641509433963
CNM,62.22461042450297
BNPQY,62.115451088835115
JCI,61.71668480796143
SSREY,61.689655172413794
SBS,61.37404580152672
TXNM,61.10798650168727
CFRUY,61.10260336906583
WRLD,61.036920659858595
RBKB,60.95890410958904
KEN,60.87516087516088
BHKLY,60.72838177251525
FYBR,60.49938600081867
CHTR,60.40076335877862
BHF,60.30000000000001
RGLD,60.19044437019713
WMT,59.811807558051285
FNV,59.70718722271518
APG,59.21951219512196
ULTA,59.211675997540546
EHAB,59.124087591240894
USFD,59.12087912087913
MMM,59.11866476694483
NFG,58.91005091457664
TBPH,58.87096774193547
FORTY,58.775981524249424
BK,58.49947534102833
CAAP,58.43179377013964
BTI,58.40211290855068
WELL,58.344152601617914
ORANY,58.12500000000001
BMI,57.908367762224835
BWFG,57.89473684210525
SIEGY,57.6636087235668
AXAHY,57.60309278350516
AXS,57.58600411643635
TCI,57.45098039215686
MCK,57.404018001335025
NC,57.40373163953949
TKOMY,57.12499999999999
HSBC,57.01598579040854
DE,56.90182245737802
BLX,56.667884545122405
SSBK,56.14035087719298
KAR,56.023316062176164
RYAAY,55.952380952380956
STVN,55.495169082125614
BWB,55.32319391634981
CPBI,55.310621242484956
RBA,55.25081710956372
SGI,55.12877442273536
DBSDY,55.06110937010341
AL,54.95424836601308
THFF,54.91329479768786
KT,54.80916030534353
LOPE,54.77848343408065
AZEK,54.76324689966179
GPOR,54.73004153207198
BFC,54.5974025974026
BVN,54.17391304347826
EBAY,54.02165506573859
TRP,53.95321291086762
GNTY,53.94783851375493
RRC,53.719311102968135
EQH,53.59297860669226
CHKP,53.26662742789877
WMB,52.610739915862425
MYFW,52.574002574002584
SRBK,52.00445434298441
MURGY,51.77610333692143
DNKEY,51.37376879212028
MGYR,51.077788191190265
DBD,50.741926098341594
ASTE,50.351370344342925
ESLOY,50.33362344067306
CNH,49.46120689655172
TELNY,49.38388625592416
THG,49.323082065853264
PCLB,49.31751509922348
WRB,49.267148719953084
DMYY,49.23076923076922
NI,48.99352983465134
UVV,48.99314007523789
EHC,48.81556683587141
FER,48.8132911392405
MNST,48.77654662973223
CM,48.71249201957862
KBCSY,48.63532700654748
GHC,48.6090775988287
SXT,48.578772301179306
CIB,48.578042328042336
RBC,48.31689248838908
GTPS,47.78325123152709
IBDRY,47.63973928500888
SWDBY,47.51469802244789
OLLI,47.45292129406084
SCHW,47.270939190296666
HG,47.004608294930875
AAMI,46.946386946386944
AMADY,46.92147186433941
V,46.814404432132974
HBCP,46.78720445062587
TT,46.43971155458663
ENLT,45.895788722341194
DANOY,45.74649050371594
STN,45.695545230937405
ADRNY,45.645543883429326
AM,45.46493902439026
INTU,45.21064884349656
CTVA,44.57108578284343
BCH,44.39909297052154
NRDBY,44.367530412326076
ING,44.29708222811672
YARIY,44.22110939907549
SPR,44.14814814814815
BAP,43.765903307888024
LZAGY,43.70588235294119
LSBK,43.64406779661015
JAPSY,43.603851444291614
GFL,43.40871483728627
AER,43.376718160807705
EPR,43.24053172811639
EADSY,42.99120234604105
RPRX,42.7027027027027
ADP,42.66009426211787
KRYAY,42.48200984724152
RTX,42.41445442616333
PLPC,42.09705531602605
CICHY,41.904047976011995
TLGPY,41.872791519434614
BMO,41.72512340867756
ABT,41.64075819877645
