Symbol,Price_Increase_Percentage,Screeners,Volume-Acceleration(%),RSI_12M,RSI_3M,Nr_Of_Spikes,MVP_Last_6Mo,Price_Tightness_1W,RSI_6M,Days_Traded
CCIR,34.57661290322581,5,,96.5517241379311,91.66666666666664,,,8.168316831683157,96.5517241379311,129
ETOR,33.47826086956522,5,,68.66902237926973,68.66902237926973,,,25.0814332247557,68.66902237926973,18
SOBO,30.43478260869566,5,,76.83523654159872,76.83523654159872,,,4.267161410018548,76.83523654159872,170
FBLA,29.86748216106014,5,,95.77464788732402,95.77464788732402,,,4.7153024911031975,95.77464788732402,156
SNRE,29.775678866587956,5,,88.83447600391773,76.72485453034082,,,4.698614751029587,83.07291666666663,148
CEPO,29.482071713147423,6,60.45,97.79411764705874,97.79411764705874,,,6.2648691514670825,97.79411764705874,105
HTO,27.299042529503463,5,,77.31788079470195,74.07407407407408,,,4.658151765589789,77.31788079470195,144
HOND,23.636363636363633,6,100.19,96.00000000000009,85.41666666666661,,,7.598039215686272,96.00000000000009,165
MBAV,22.2668004012036,6,213.98,100.0,100.0,,,4.429860541427392,100.0,178
GRAF,22.037652270210415,5,,100.0,88.23529411764639,,,0.28708133971291255,100.0,203
AII,21.410736579275905,5,,62.895927601809916,62.895927601809916,,,6.704871060171909,62.895927601809916,22
HNGE,20.362737015663633,2,,,,,,11.287176986835695,,12
AHL,14.024005053695518,5,,64.86825595984944,64.86825595984944,,,7.488610478359896,64.86825595984944,22
BEAG,13.821138211382108,7,54.99,100.0,93.9393939393936,1,,0.8587786259541972,100.0,119
GSRT,13.286004056795136,7,105.95,86.20689655172386,86.20689655172386,1,,4.8225659690627785,86.20689655172386,116
VACH,12.562814070351761,5,,90.0,90.0,,,0.7699711260827725,90.0,173
POLE,12.386706948640489,5,,100.0,100.0,,,1.0546500479386332,100.0,153
LPAA,10.766045548654235,5,,92.85714285714303,92.85714285714303,,,0.7662835249042153,92.85714285714303,192
NOEM,10.224948875255624,5,,88.88888888888758,87.49999999999834,,,0.5970149253731393,88.88888888888758,99
OACC,9.04522613065327,5,,84.3137254901961,84.3137254901961,,,1.0426540284360304,84.3137254901961,119
SBXD,8.944723618090459,6,126.94,100.0,94.73684210526325,,,3.9667896678966765,100.0,168
CEPT,8.888888888888879,5,,72.51908396946567,72.51908396946567,,,4.42176870748299,72.51908396946567,26
MACI,8.844221105527646,5,,100.0,100.0,,,3.8781163434903037,100.0,225
CHAR,8.400809716599191,5,,100.0,100.0,,,0.9708737864077808,100.0,131
AAM,8.333333333333314,5,,100.0,89.28571428571442,,,4.355885078776635,100.0,183
EQV,8.198380566801605,7,75.75,100.0,96.1538461538462,1,,2.8063610851262766,96.1538461538462,174
WLAC,8.163265306122437,5,,100.0,100.0,,,1.1707317073170656,100.0,110
ALDF,7.979797979797971,6,,100.0,96.96969696969653,1,,0.9532888465204923,100.0,120
VCIC,7.831325301204813,6,61.33,100.0,100.0,,,0.6737247353224282,100.0,153
RANG,7.366296670030277,5,,100.0,97.05882352941131,,,2.679425837320568,100.0,102
DYNX,7.259713701431501,5,,100.0,100.0,,,0.3960396039603876,100.0,124
YHNA,7.107107107107098,5,,100.0,88.88888888888911,,,0.3875968992248151,100.0,144
LOKV,7.0408163265306065,6,,100.0,100.0,1,,1.5252621544327944,100.0,35
ASPC,6.532663316582919,5,,100.0,100.0,,,4.056603773584904,100.0,107
ALF,6.325301204819267,6,141.27,100.0,87.50000000000028,,,1.3220018885741318,100.0,214
CUB,5.923694779116464,5,,100.0,100.0,,,0.663507109004742,100.0,208
