Symbol,Price_Increase_Percentage,Screeners,Nr_Of_Spikes,MVP_Last_6Mo,RSI_3M,RSI_6M,Price_Tightness_1W,IBD_RSI,RSI_12M,Volume-Acceleration(%)
ACHR,393.51201871942135,7,1,,81.50851581508513,81.50851581508513,20.779098364167652,97,88.06970509383378,99.26
SVT,386.02484472049696,6,,,99.19072025896955,99.19072025896955,0.8306709265175731,99,99.19072025896955,592.31
PVLA,372.09677419354836,6,,1,67.54596322941646,91.4002205071665,15.410323059784622,93,91.4002205071665,
JFIN,361.27750000000003,6,,,82.6985854189336,85.54216867469881,24.123764978781754,97,93.33333333333334,76.10
LEU,355.7296329453895,7,1,,91.06452572108236,91.06452572108236,19.28559735454932,98,96.67093469910371,93.52
FTK,337.20316622691297,7,2,,96.81668496158068,96.81668496158068,18.94990947495474,98,96.81668496158068,202.25
RNMBY,334.5149807178879,7,,1,82.70526213023527,95.44198895027627,8.59190988223246,98,95.44198895027627,166.02
HRTG,333.87622149837136,5,,,89.24731182795699,89.24731182795699,15.503875968992247,96,90.44401544401545,
GRPN,332.5161290322581,6,1,,95.54655870445347,95.54655870445347,12.350835322195715,98,95.54655870445347,
FNMAS,329.36288088642664,5,,,94.00749063670406,87.81725888324871,15.17781469301963,96,93.8095238095238,
BKTI,314.9957155098543,5,,,84.0670859538784,84.0670859538784,9.892241379310338,96,90.52808046940484,
XIACY,313.12499999999994,6,,,80.05159071367152,88.17934782608698,5.95408895265424,96,89.92974238875865,76.82
XPEV,311.51515151515156,6,1,,71.462829736211,80.41666666666669,7.205452775073031,93,82.1525885558583,
HNRG,305.54721096273744,7,2,,90.26217228464421,89.30921052631575,15.169162506932896,96,97.00748129675814,59.76
COE,304.5897079276773,7,1,1,94.9117341640706,94.9117341640706,31.935372980405635,97,96.06741573033709,
AGX,288.1630725641429,6,,,96.32010640656169,96.32010640656169,18.08596918085969,97,96.32010640656169,74.75
ORLA,283.6419753086419,6,,,87.41418764302058,87.41418764302058,13.917940466613038,97,87.82051282051285,90.89
AS,280.90999010880313,6,,,93.66120218579233,93.66120218579233,5.963541666666665,96,93.66120218579233,69.22
DUOL,275.68424681144427,7,1,1,98.24372056514915,98.24372056514915,10.136960947621688,96,98.24372056514915,
SKE,270.7317073170732,6,,,85.62231759656649,85.62231759656649,13.684210526315791,96,85.93155893536124,51.97
RBRK,263.44389555398726,5,,,96.76113360323886,96.76113360323886,10.330097087378642,97,96.76113360323886,
PPTA,258.48303393213575,7,1,,89.8243045387994,89.8243045387994,21.54788418708241,96,89.8243045387994,167.16
ADPT,255.51839464882943,6,1,,74.90039840637449,74.90039840637449,12.3236124176858,96,83.0860534124629,
CVNA,251.2543728135932,5,,,84.70037453183522,92.39750203638339,9.965000142275839,97,92.39750203638339,
GHRS,241.66666666666666,5,,,78.25059101654847,95.64393939393939,21.714285714285708,89,95.64393939393939,
EAT,241.60298560511814,5,,,79.80270857716097,89.35694909845222,5.834410657073799,94,89.42678942678945,
UI,237.9692219185963,7,1,1,100.0,100.0,7.047614487827064,95,100.0,
GEV,233.79108059462706,5,,,87.88965087281794,95.69052419354838,5.63788145071098,96,96.66941467436112,
LFMD,232.08020050125313,7,,1,96.29629629629626,96.29629629629626,11.77358490566038,97,96.29629629629626,135.78
CRK,223.64341085271323,5,,,88.0851063829787,88.0851063829787,6.826347305389224,95,91.85750636132319,
BROS,222.25519287833825,5,,,77.5519421860885,84.7528290649196,11.787365177195678,93,90.63063063063069,
FARO,215.38461538461542,6,,,95.88150289017341,95.88150289017341,0.7513500821789159,96,95.88150289017341,374.30
SE,213.9090909090909,5,,,87.22997514815522,91.63987138263666,7.158992180712431,94,93.81598793363494,
CYD,209.97624703087885,6,,,81.81818181818178,96.61368348306843,13.60123647604328,93,96.61368348306843,116.55
SSRM,208.56481481481478,5,,,82.08955223880601,85.15624999999999,12.45311327831958,96,87.46081504702195,
TGTX,206.59630606860156,5,,,84.49999999999999,84.49999999999999,16.27226152720176,91,86.55462184873949,
