2025-03-18 22:44:28,465 - INFO - Base directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer
2025-03-18 22:44:28,466 - INFO - HTML pages directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\html_pages
2025-03-18 22:44:28,466 - INFO - Progress file: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\progress.csv
2025-03-18 22:44:28,466 - INFO - Tickers file: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\price_data\all_tickers_historical.csv
2025-03-18 22:44:28,467 - INFO - Last run directory: c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\fundamental_data\last_run
2025-03-18 22:44:33,121 - INFO - Read 2320007 tickers from c:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\price_data\all_tickers_historical.csv
2025-03-18 22:45:10,511 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,512 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,512 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,512 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,512 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,513 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,513 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,513 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,513 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,514 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,514 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,514 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,515 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,516 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,517 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,517 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,517 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,517 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,517 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,518 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,518 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,519 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,519 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,519 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,519 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,520 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,520 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,520 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,520 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,521 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,521 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,521 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,521 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,521 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,522 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,523 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,524 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,524 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,524 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,524 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,525 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,526 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,526 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,526 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,527 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,527 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,527 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,527 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,528 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,528 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,528 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,528 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,529 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,529 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,529 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,529 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,530 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,531 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,531 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,531 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,532 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,532 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,532 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,532 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,532 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,533 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,534 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,534 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,534 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,534 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,535 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,535 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,535 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,535 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,535 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,536 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,536 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,536 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,536 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,536 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,537 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,537 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,537 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,537 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,538 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,538 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,538 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,538 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,538 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,539 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,540 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,540 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,540 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,540 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,540 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,541 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,541 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,542 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,542 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,542 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,542 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,542 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,543 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,543 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,543 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,544 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,544 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,544 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,545 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,545 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,545 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,546 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,546 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,546 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,547 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,547 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,547 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,547 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,548 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,548 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,548 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,548 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,548 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,549 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,549 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,549 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,549 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,550 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,550 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,550 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,550 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,550 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,551 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,552 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,553 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,553 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,553 - INFO - Ticker AACG already has HTML file, skipping
2025-03-18 22:45:10,553 - INFO - Ticker AACG already has HTML file, skipping
